,level_0,index,Unnamed: 0,title,ingredients,directions,link,source,NER
0,284214,635607,635607,Chocolate Sodas,"[""1 (28 oz.) bottle club soda"", ""1/2 lb. can chocolate syrup"", ""1/2 gal. box chocolate ice cream"", ""1 qt. instant nonfat dry milk and water""]","[""Blend 1/2 quart dry milk, 14 ounces club soda, 1/4 pound chocolate and 1/4 gallon chocolate ice cream on whip, then do the other half of the ingredients to make the complete serving size.""]",www.cookbooks.com/Recipe-Details.aspx?id=927263,Gathered,"[""club soda"", ""chocolate syrup"", ""chocolate ice cream"", ""milk""]"
1,332856,1020573,1020573,Lemon-Dill Chicken Patties With Orzo,"[""Orzo"", ""1 1/4 cups uncooked orzo pasta"", ""2 tablespoons snipped dill"", ""2 tablespoons reduced-fat sour cream"", ""1 tablespoon lemon juice"", ""2 teaspoons butter or 2 teaspoons margarine"", ""1/4 teaspoon salt"", ""Patties"", ""1 cup fine fresh breadcrumb"", ""1/4 cup sliced scallion"", ""2 tablespoons reduced-fat sour cream"", ""2 tablespoons snipped dill"", ""2 teaspoons grated lemons, rind of"", ""1/2 teaspoon salt"", ""1/2 teaspoon pepper"", ""1/4 teaspoon ground nutmeg"", ""1 lb ground chicken"", ""2 teaspoons olive oil""]","[""Cook orzo in lightly salted water as package directs."", ""Drain; return to pot."", ""Add remaining orzo ingredients; toss to mix."", ""Cover to keep warm."", ""While orzo cooks, mix Patties ingredients except chicken."", ""Add chicken; mix well."", ""Form into sixteen 1/2-inch thick patties."", ""Heat oil in large nonstick skillet."", ""Add patties; cook over medium heat, turning once, about 5 minutes, until opaque in center."", ""Serve with orzo."", ""Serves 4.""]",www.food.com/recipe/lemon-dill-chicken-patties-with-orzo-48399,Gathered,"[""orzo pasta"", ""dill"", ""sour cream"", ""lemon juice"", ""butter"", ""salt"", ""fresh breadcrumb"", ""scallion"", ""sour cream"", ""dill"", ""grated lemons"", ""salt"", ""pepper"", ""ground nutmeg"", ""ground chicken"", ""olive oil""]"
2,75356,848557,848557,Corn Pudding,"[""2 c. corn (fresh, frozen or canned)"", ""2 c. milk"", ""1/4 tsp. salt"", ""1 stick margarine, melted"", ""3 eggs"", ""2 c. sugar"", ""1 Tbsp. vanilla extract""]","[""Mix corn, salt and milk together."", ""Beat eggs, sugar and add margarine last."", ""Bake at 350\u00b0 for 20 to 30 minutes or until brown.""]",www.cookbooks.com/Recipe-Details.aspx?id=781264,Gathered,"[""corn"", ""milk"", ""salt"", ""margarine"", ""eggs"", ""sugar"", ""vanilla""]"
3,279972,853481,853481,Lemon (Or Lime) Meringue Pie,"[""7 Tbsp. cornstarch"", ""1 1/2 c. sugar"", ""1/4 tsp. salt"", ""1 1/2 c. hot water"", ""3 beaten egg yolks (save whites for meringue)"", ""1/2 c. lemon juice or 1/3 c. lime juice"", ""2 Tbsp. butter or margarine"", ""9-inch deep pie shell""]","[""Mix cornstarch, sugar and salt."", ""Add hot water and cook, stirring constantly, until thick and clear."", ""Remove from heat; add egg yolks to part of mixture."", ""Blend with rest of mixture."", ""Stir and cook over low heat about 6 minutes longer."", ""Remove from stove; add juice and butter."", ""Pour into pie shell."", ""Make meringue.""]",www.cookbooks.com/Recipe-Details.aspx?id=863899,Gathered,"[""cornstarch"", ""sugar"", ""salt"", ""water"", ""egg yolks"", ""lemon juice"", ""butter"", ""shell""]"
4,14322,631755,631755,Nacho Chip Dip,"[""2 c. Monterey Jack cheese, shredded"", ""1 (16 oz.) can refried beans"", ""1 pkg. taco seasoning"", ""1 (8 oz.) container avocado/guacamole dip"", ""1 (8 oz.) container sour cream"", ""salsa (your favorite kind)"", ""olives, sliced (optional)"", ""green chilies (optional)""]","[""Mix taco seasoning and refried beans to desired taste."", ""Spread bean mixture in an 8 x 8-inch pan."", ""Cover beans with avocado dip and spread evenly."", ""Cover avocado dip with sour cream; spread evenly."", ""Cover sour cream with salsa, just enough to cover the sour cream completely."", ""Sprinkle salsa with olives and green chilies, if desired."", ""Cover completely with shredded cheese (use jalapeno Jack if desired)."", ""Dip your favorite chip into mixture and enjoy!""]",www.cookbooks.com/Recipe-Details.aspx?id=519475,Gathered,"[""cheese"", ""beans"", ""taco seasoning"", ""guacamole dip"", ""sour cream"", ""salsa"", ""olives"", ""green chilies""]"
5,372203,229007,229007,Shrimp Chinese(Casserole)  ,"[""3 c. celery, sliced"", ""1 c. onion, chopped"", ""1/2 c. water"", ""1 (4 oz.) can sliced mushrooms, drained"", ""2 Tbsp. butter or margarine"", ""3/4 c. chopped green pepper"", ""salt and pepper"", ""1 (6 oz.) can cashew nuts, chopped"", ""1 (4 oz.) can pimentos, drained and chopped"", ""1 (5 oz.) can water chestnuts, sliced"", ""3/4 lb. cooked, cleaned, small shrimp"", ""2 1/2 c. medium white sauce"", ""2 (3 oz.) cans Chinese noodles""]","[""Combine celery, onion and water in saucepan."", ""Simmer, covered, until onion is soft; drain."", ""Brown mushrooms lightly in butter. Combine celery-onion mixture, mushrooms, green pepper, cashews, pimentos, water chestnuts and shrimp."", ""Mix well."", ""Combine with white sauce and season to taste."", ""Layer bottom of greased 6-quart baking dish with 1 can of the noodles."", ""Cover with shrimp mixture. Top with remaining noodles."", ""Bake for 30 minutes at 350\u00b0."", ""Serves 10.""]",www.cookbooks.com/Recipe-Details.aspx?id=287352,Gathered,"[""celery"", ""onion"", ""water"", ""mushrooms"", ""butter"", ""green pepper"", ""salt"", ""cashew nuts"", ""pimentos"", ""water chestnuts"", ""shrimp"", ""white sauce"", ""Chinese noodles""]"
6,25106,794687,794687,Ida Flint'S English Christmas Pudding,"[""1 1/4 c. flour"", ""1/2 tsp. cinnamon"", ""1/2 tsp. nutmeg"", ""1/4 tsp. ground mace"", ""1/4 tsp. ground cloves"", ""1/2 tsp. salt"", ""1 1/2 c. bread crumbs"", ""2 c. shredded suet"", ""1 1/2 c. dark brown sugar"", ""1 c. dark raisins"", ""1 c. large muscatel raisins or dark raisins"", ""1 c. currants"", ""1 c. chopped peel"", ""3/4 c. walnuts"", ""1/2 c. glaced cherries, halved"", ""1 c. figs, chopped"", ""1/2 c. honey"", ""4 eggs, beaten"", ""1/2 c. fruit juice, wine or brandy"", ""1/2 to 2/3 c. milk"", ""1/2 tsp. baking soda, dissolved in 1 Tbsp. water"", ""2 apples, peeled and grated"", ""2 carrots, peeled and grated""]","[""Use small can of beer to help with the mixing."", ""Mix ingredients in order given."", ""Well-grease bowls."", ""Fill bowls 2/3 full, then cover with wax paper and tinfoil."", ""Tie down with string."", ""Water level is 3/4 way up the bowl."", ""Boil for 5 hours. Keep on low fire."", ""Keep adding water; do not let dry boil."", ""After 5 hours, remove pudding from saucepan and uncover them."", ""Pour rum or brandy over the top slowly."", ""Re-wrap with clean wax paper and foil; re-tie."", ""Keep in cool place until needed."", ""Freezes well."", ""On the day to be used, boil on low for 2 hours.""]",www.cookbooks.com/Recipe-Details.aspx?id=368792,Gathered,"[""flour"", ""cinnamon"", ""nutmeg"", ""ground mace"", ""ground cloves"", ""salt"", ""bread crumbs"", ""suet"", ""brown sugar"", ""dark raisins"", ""raisins"", ""currants"", ""peel"", ""walnuts"", ""glaced cherries"", ""figs"", ""honey"", ""eggs"", ""fruit juice"", ""milk"", ""baking soda"", ""apples"", ""carrots""]"
7,40168,323292,323292,Oven Barbecue Chicken,"[""1 Tbsp. salad oil"", ""3 lb. broiler or fryer chicken, cut up"", ""1 medium onion, coarsely chopped"", ""1 (8 oz.) can tomato sauce"", ""3 Tbsp. brown sugar"", ""1 Tbsp. prepared mustard"", ""1 Tbsp. Worcestershire sauce"", ""1 Tbsp. white vinegar"", ""1 tsp. salt""]","[""In large skillet, over medium high heat, in hot salad oil, cook chicken, a few pieces at a time, until browned on all sides. Remove chicken pieces to roasting pan as it brown."", ""Discard all but 1 tablespoon fat from skillet and cook onion until tender."", ""Stir in tomato sauce, brown sugar, mustard, Worcestershire, vinegar, salt and 1/4 cup water; heat to boiling."", ""Pour sauce over chicken in roasting pan."", ""Bake uncovered in 375\u00b0 oven for approximately 30 minutes or until chicken is fork tender, occasionally brushing chicken with juices in pan."", ""Makes 4 servings.""]",www.cookbooks.com/Recipe-Details.aspx?id=277559,Gathered,"[""salad oil"", ""chicken"", ""onion"", ""tomato sauce"", ""brown sugar"", ""mustard"", ""Worcestershire sauce"", ""white vinegar"", ""salt""]"
8,223908,714603,714603,Apple Cake,"[""1/2 c. plus 2 Tbsp. oil"", ""1 1/4 c. flour (plain)"", ""1 c. sugar"", ""1/2 tsp. soda"", ""1 1/2 c. chopped apples"", ""1 large or 2 small eggs"", ""1/2 c. chopped nuts"", ""1 tsp. vanilla"", ""1/2 tsp. cinnamon""]","[""Preheat oven to 350\u00b0."", ""Grease and flour pan."", ""Beat oil, sugar and"", ""eggs"", ""until"", ""smooth."", ""Add flour, soda and vanilla. Fold in apples"", ""and"", ""nuts."", ""Bake"", ""45 minutes at 350\u00b0 in Bundt cake pan.""]",www.cookbooks.com/Recipe-Details.aspx?id=1041269,Gathered,"[""oil"", ""flour"", ""sugar"", ""soda"", ""apples"", ""eggs"", ""nuts"", ""vanilla"", ""cinnamon""]"
9,42159,563697,563697,Salad Dressing,"[""1 c. catsup"", ""1/2 c. salad oil"", ""1 c. sugar"", ""1/2 c. vinegar"", ""1 tsp. mustard"", ""1 tsp. paprika"", ""1 tsp. Worcestershire sauce"", ""1 1/2 tsp. salt"", ""1 clove garlic"", ""1 small onion""]","[""Peel garlic and slice thin."", ""Put all in jar and stir or shake to mix.""]",www.cookbooks.com/Recipe-Details.aspx?id=228403,Gathered,"[""catsup"", ""salad oil"", ""sugar"", ""vinegar"", ""mustard"", ""paprika"", ""Worcestershire sauce"", ""salt"", ""clove garlic"", ""onion""]"
